mode,n,S,trial,comparisons,time_s
hybrid,100000,1,1,1536311,0.44657959998585284
hybrid,100000,1,2,1536035,0.5261138000059873
hybrid,100000,1,3,1536189,0.563259799964726
hybrid,100000,2,1,1530145,0.4971561999991536
hybrid,100000,2,2,1530868,0.4625029000453651
hybrid,100000,2,3,1530845,0.5202479999279603
hybrid,100000,3,1,1510912,0.40596549992915243
hybrid,100000,3,2,1511155,0.4728581999661401
hybrid,100000,3,3,1510917,0.44372340000700206
hybrid,100000,4,1,1511271,0.44744779996108264
hybrid,100000,4,2,1510892,0.45410139998421073
hybrid,100000,4,3,1510654,0.4980148000176996
hybrid,100000,5,1,1511067,0.46763309999369085
hybrid,100000,5,2,1510860,0.5845180000178516
hybrid,100000,5,3,1510767,0.49281650001648813
hybrid,100000,6,1,1499427,0.43019849993288517
hybrid,100000,6,2,1499308,0.43077860004268587
hybrid,100000,6,3,1499376,0.4968506000004709
hybrid,100000,7,1,1497727,0.40375160006806254
hybrid,100000,7,2,1498110,0.4985404000617564
hybrid,100000,7,3,1498324,0.3986133000580594
hybrid,100000,8,1,1498489,0.4060829000081867
hybrid,100000,8,2,1497955,0.41929310001432896
hybrid,100000,8,3,1498516,0.4506362999090925
hybrid,100000,9,1,1498026,0.41364389995578676
hybrid,100000,9,2,1498096,0.3903294000774622
hybrid,100000,9,3,1497874,0.48853840003721416
hybrid,100000,10,1,1497937,0.4080499999690801
hybrid,100000,10,2,1497494,0.41081020003184676
hybrid,100000,10,3,1497834,0.3996853999560699
hybrid,100000,11,1,1498312,0.451423600083217
hybrid,100000,11,2,1498317,0.3664814999792725
hybrid,100000,11,3,1497897,0.375285999965854
hybrid,100000,12,1,1484566,0.36212930001784116
hybrid,100000,12,2,1484477,0.4203404999570921
hybrid,100000,12,3,1484220,0.40943869994953275
hybrid,100000,13,1,1481480,0.3870988000417128
hybrid,100000,13,2,1482081,0.4122340000467375
hybrid,100000,13,3,1483149,0.37214019999373704
hybrid,100000,14,1,1481253,0.34549969993531704
hybrid,100000,14,2,1482628,0.3652026999043301
hybrid,100000,14,3,1482284,0.3892461999785155
hybrid,100000,15,1,1481135,0.3545783000299707
hybrid,100000,15,2,1481785,0.35963910003192723
hybrid,100000,15,3,1482680,0.36225939996074885
hybrid,100000,16,1,1482583,0.36887500004377216
hybrid,100000,16,2,1481126,0.35982659994624555
hybrid,100000,16,3,1481224,0.4557222001021728
hybrid,100000,17,1,1481763,0.348364399978891
hybrid,100000,17,2,1482266,0.3594139999477193
