mode,n,S,trial,comparisons,time_s
hybrid,1000,1,1,8660,0.003942399984225631
hybrid,1000,1,2,8706,0.003602999961003661
hybrid,1000,1,3,8709,0.0046159999910742044
hybrid,1000,2,1,8544,0.003967699944041669
hybrid,1000,2,2,8543,0.0033490000059828162
hybrid,1000,2,3,8575,0.003291000030003488
hybrid,1000,3,1,8549,0.0033007999882102013
hybrid,1000,3,2,8539,0.0037026999052613974
hybrid,1000,3,3,8548,0.0038183999713510275
hybrid,1000,4,1,8422,0.008044300018809736
hybrid,1000,4,2,8453,0.002111900015734136
hybrid,1000,4,3,8393,0.003273200010880828
hybrid,1000,5,1,8426,0.002641000086441636
hybrid,1000,5,2,8427,0.0037347000325098634
hybrid,1000,5,3,8455,0.003661500057205558
hybrid,1000,6,1,8439,0.002819000044837594
hybrid,1000,6,2,8397,0.003178599989041686
hybrid,1000,6,3,8436,0.0022556999465450644
hybrid,1000,7,1,8406,0.0017989000771194696
hybrid,1000,7,2,8417,0.0018690000288188457
hybrid,1000,7,3,8450,0.001854300033301115
hybrid,1000,8,1,8300,0.0029630999779328704
hybrid,1000,8,2,8318,0.002149100066162646
hybrid,1000,8,3,8328,0.0026225000619888306
hybrid,1000,9,1,8279,0.002660700003616512
hybrid,1000,9,2,8335,0.0039715999737381935
hybrid,1000,9,3,8309,0.0027663999935612082
