mode,n,S,trial,comparisons,time_s
hybrid,1000,43,3,7836,0.006723199971020222
hybrid,1000,44,1,7885,0.002389600034803152
hybrid,1000,44,2,7812,0.0022381999297067523
hybrid,1000,44,3,7970,0.003678999957628548
hybrid,1000,45,1,7878,0.0029566000448539853
hybrid,1000,45,2,7855,0.0015424999874085188
hybrid,1000,45,3,7772,0.0021652000723406672
hybrid,1000,46,1,7929,0.004270200035534799
hybrid,1000,46,2,7826,0.0019025999354198575
hybrid,1000,46,3,7941,0.003610400017350912
hybrid,1000,47,1,7889,0.0024141999892890453
hybrid,1000,47,2,7832,0.0032182999420911074
hybrid,1000,47,3,8018,0.0018178999889642
hybrid,1000,48,1,7857,0.0069401999935507774
hybrid,1000,48,2,8006,0.002328700036741793
hybrid,1000,48,3,7822,0.0029039999935775995
hybrid,1000,49,1,7784,0.0017568999901413918
hybrid,1000,49,2,7831,0.0034620999358594418
hybrid,1000,49,3,7887,0.0013464000076055527
hybrid,1000,50,1,7986,0.0016084000235423446
hybrid,1000,50,2,7757,0.001713200006633997
hybrid,1000,50,3,7848,0.001647600089199841
hybrid,1000,51,1,7953,0.0016222000122070312
hybrid,1000,51,2,7882,0.0015671000583097339
hybrid,1000,51,3,8098,0.0015197999309748411
hybrid,1000,52,1,7856,0.0017231000820174813
hybrid,1000,52,2,8015,0.0013778998982161283
hybrid,1000,52,3,7824,0.0020032000029459596
hybrid,1000,53,1,7811,0.001568000065162778
hybrid,1000,53,2,7741,0.0019798000575974584
hybrid,1000,53,3,7843,0.0013839000603184104
hybrid,1000,54,1,7971,0.0012697000056505203
hybrid,1000,54,2,7862,0.0012803999707102776
hybrid,1000,54,3,7837,0.0012392000062391162
hybrid,1000,55,1,7894,0.0018832000205293298
hybrid,1000,55,2,7794,0.0013657000381499529
hybrid,1000,55,3,7968,0.0012737000361084938
hybrid,1000,56,1,7751,0.0013310000067576766
hybrid,1000,56,2,7945,0.001562100020237267
hybrid,1000,56,3,7650,0.0012316000647842884
hybrid,1000,57,1,7976,0.0012622999493032694
hybrid,1000,57,2,7824,0.0012377999955788255
hybrid,1000,57,3,7937,0.0030942000448703766
hybrid,1000,58,1,7854,0.0016704000299796462
hybrid,1000,58,2,7947,0.003346299985423684
hybrid,1000,58,3,7845,0.0013337000273168087
hybrid,1000,59,1,7904,0.001624500029720366
hybrid,1000,59,2,7891,0.005529599962756038
hybrid,1000,59,3,7830,0.0014467999571934342
hybrid,1000,60,1,7989,0.0027418999234214425
hybrid,1000,60,2,7961,0.0013544999528676271
hybrid,1000,60,3,7884,0.0013563999673351645
hybrid,1000,61,1,7903,0.0014812999870628119
hybrid,1000,61,2,7916,0.001356799970380962
hybrid,1000,61,3,7859,0.0013445999938994646
hybrid,1000,62,1,7668,0.0012405000161379576
hybrid,1000,62,2,7718,0.0012329000746831298
hybrid,1000,62,3,7742,0.0012214001035317779
hybrid,1000,63,1,7613,0.001240600016899407
hybrid,1000,63,2,7876,0.0012381999986246228
hybrid,1000,63,3,7378,0.0020360000198706985
hybrid,1000,64,1,7296,0.001993799931369722
hybrid,1000,64,2,7658,0.0017452000174671412
hybrid,1000,64,3,7560,0.002587099908851087
hybrid,1000,65,1,7521,0.0012271000305190682
hybrid,1000,65,2,7650,0.001478699967265129
hybrid,1000,65,3,7671,0.0012036999687552452
hybrid,1000,66,1,7701,0.0019035999430343509
hybrid,1000,66,2,7591,0.0015098999720066786
hybrid,1000,66,3,7607,0.0028709000907838345
hybrid,1000,67,1,7502,0.0017805000534281135
hybrid,1000,67,2,7352,0.001895399997010827
hybrid,1000,67,3,7579,0.0031690000323578715
hybrid,1000,68,1,7385,0.0011768999975174665
hybrid,1000,68,2,7689,0.001341200084425509
hybrid,1000,68,3,7640,0.001191499992273748
hybrid,1000,69,1,7607,0.0015034000389277935
hybrid,1000,69,2,7651,0.0011848999420180917
hybrid,1000,69,3,7566,0.00172149995341897
hybrid,1000,70,1,7798,0.0013163000112399459
hybrid,1000,70,2,7629,0.0012200999772176147
hybrid,1000,70,3,7764,0.0012357999803498387
hybrid,1000,71,1,7709,0.0011480000102892518
hybrid,1000,71,2,7704,0.0011736999731510878
hybrid,1000,71,3,7446,0.0012721000239253044
hybrid,1000,72,1,7594,0.0019910000264644623
hybrid,1000,72,2,7478,0.0011255999561399221
hybrid,1000,72,3,7425,0.0011937000090256333
hybrid,1000,73,1,7464,0.0016465999651700258
hybrid,1000,73,2,7419,0.00325660000089556
hybrid,1000,73,3,7580,0.003280300064943731
hybrid,1000,74,1,8075,0.0024057000409811735
hybrid,1000,74,2,7575,0.00398849998600781
hybrid,1000,74,3,7636,0.003756199963390827
hybrid,1000,75,1,7619,0.0030249999836087227
hybrid,1000,75,2,7823,0.0012691000010818243
hybrid,1000,75,3,7639,0.0038578000385314226
hybrid,1000,76,1,7651,0.001226700027473271
hybrid,1000,76,2,7651,0.0018080000299960375
hybrid,1000,76,3,7598,0.0035821000346913934
hybrid,1000,77,1,7888,0.003456000005826354
hybrid,1000,77,2,7612,0.0013287999900057912
hybrid,1000,77,3,7497,0.002013599965721369
hybrid,1000,78,1,7542,0.0039058999391272664
hybrid,1000,78,2,7806,0.003918200032785535
hybrid,1000,78,3,7480,0.004391300026327372
hybrid,1000,79,1,7689,0.004648500005714595
hybrid,1000,79,2,7753,0.004484299919568002
hybrid,1000,79,3,7660,0.003571299952454865
hybrid,1000,80,1,7621,0.001896300003863871
hybrid,1000,80,2,7607,0.0033956000115722418
hybrid,1000,80,3,7565,0.00133200001437217
hybrid,1000,81,1,7510,0.00240899994969368
hybrid,1000,81,2,7630,0.0011887999717146158
hybrid,1000,81,3,7548,0.0016741000581532717
hybrid,1000,82,1,7524,0.0014133000513538718
hybrid,1000,82,2,7460,0.0011646999046206474
hybrid,1000,82,3,7491,0.0011729999678209424
hybrid,1000,83,1,7450,0.001670599915087223
hybrid,1000,83,2,7684,0.0015016000252217054
hybrid,1000,83,3,7653,0.0013165000127628446
hybrid,1000,84,1,7598,0.0029183999868109822
hybrid,1000,84,2,7488,0.002851199940778315
hybrid,1000,84,3,7644,0.0029045999981462955
hybrid,1000,85,1,7744,0.0018733999459072948
hybrid,1000,85,2,7903,0.001812300062738359
hybrid,1000,85,3,7505,0.0014819999923929572
hybrid,1000,86,1,7484,0.002957399934530258
hybrid,1000,86,2,7642,0.0026513999328017235
hybrid,1000,86,3,7772,0.0012666999828070402
hybrid,1000,87,1,7747,0.0023502999683842063
hybrid,1000,87,2,7543,0.0028432999970391393
hybrid,1000,87,3,7567,0.0029754999559372663
hybrid,1000,88,1,7685,0.0015302000101655722
hybrid,1000,88,2,7754,0.0012226999970152974
hybrid,1000,88,3,7732,0.0011995000531896949
hybrid,1000,89,1,7556,0.0011757999891415238
hybrid,1000,89,2,7583,0.0024624000070616603
hybrid,1000,89,3,7436,0.0012106000212952495
hybrid,1000,90,1,7396,0.0013145999982953072
hybrid,1000,90,2,7453,0.0012178999604657292
hybrid,1000,90,3,7532,0.0016842000186443329
hybrid,1000,91,1,7434,0.0011639000149443746
hybrid,1000,91,2,7608,0.0011641000164672732
hybrid,1000,91,3,7660,0.0011762999929487705
hybrid,1000,92,1,7407,0.0012272000312805176
hybrid,1000,92,2,7475,0.0020924999844282866
hybrid,1000,92,3,7790,0.0030462000286206603
hybrid,1000,93,1,7674,0.0026163000147789717
hybrid,1000,93,2,7715,0.0012898000422865152
hybrid,1000,93,3,7434,0.0011832000454887748
hybrid,1000,94,1,7500,0.0016062000067904592
