mode,n,S,trial,comparisons,time_s
hybrid,1000,43,3,7849,0.0013496000319719315
hybrid,1000,44,1,7880,0.0012926999479532242
hybrid,1000,44,2,7862,0.0012782999547198415
hybrid,1000,44,3,7939,0.00130540004465729
hybrid,1000,45,1,7800,0.001379600027576089
hybrid,1000,45,2,8100,0.001246499945409596
hybrid,1000,45,3,7842,0.001262799953110516
hybrid,1000,46,1,7769,0.0013231999473646283
hybrid,1000,46,2,7876,0.0013649000320583582
hybrid,1000,46,3,7800,0.0012698000064119697
hybrid,1000,47,1,7812,0.0012793000787496567
hybrid,1000,47,2,7696,0.001534900045953691
hybrid,1000,47,3,7893,0.0012733000330626965
hybrid,1000,48,1,7902,0.0012663999805226922
hybrid,1000,48,2,7743,0.0012577999150380492
hybrid,1000,48,3,7816,0.0013671999331563711
hybrid,1000,49,1,7876,0.00157769990619272
hybrid,1000,49,2,7759,0.001279400079511106
hybrid,1000,49,3,7913,0.0013063999358564615
hybrid,1000,50,1,7852,0.0013222000561654568
hybrid,1000,50,2,7990,0.0017697999719530344
hybrid,1000,50,3,7824,0.0013364999322220683
hybrid,1000,51,1,7821,0.0012688999995589256
hybrid,1000,51,2,7825,0.0012759000528603792
hybrid,1000,51,3,7964,0.0015736999921500683
hybrid,1000,52,1,7763,0.0016724999295547605
hybrid,1000,52,2,7696,0.0012925999471917748
hybrid,1000,52,3,8056,0.0015566999791190028
hybrid,1000,53,1,7875,0.0014169999631121755
hybrid,1000,53,2,7889,0.001325499964877963
hybrid,1000,53,3,7900,0.0013116999762132764
hybrid,1000,54,1,7952,0.0014575000386685133
hybrid,1000,54,2,8000,0.0014854000182822347
hybrid,1000,54,3,8003,0.0013698999537155032
hybrid,1000,55,1,8006,0.0012986999936401844
hybrid,1000,55,2,7786,0.001632200088351965
hybrid,1000,55,3,7954,0.0013055000454187393
hybrid,1000,56,1,7821,0.0012747999280691147
hybrid,1000,56,2,7819,0.0012661999789997935
hybrid,1000,56,3,7871,0.002046799985691905
hybrid,1000,57,1,7911,0.001319300034083426
hybrid,1000,57,2,7953,0.001308899954892695
hybrid,1000,57,3,7880,0.001351499930024147
hybrid,1000,58,1,7899,0.0014754000585526228
hybrid,1000,58,2,7877,0.0016178999794647098
hybrid,1000,58,3,7934,0.0012331000762060285
hybrid,1000,59,1,7915,0.0015125999925658107
hybrid,1000,59,2,7809,0.0015243999660015106
hybrid,1000,59,3,7804,0.0013110999716445804
hybrid,1000,60,1,7809,0.0012645000824704766
hybrid,1000,60,2,7823,0.001244200044311583
hybrid,1000,60,3,7881,0.001316600013524294
hybrid,1000,61,1,7737,0.0014251999091356993
hybrid,1000,61,2,8001,0.001328800106421113
hybrid,1000,61,3,8003,0.001555000082589686
hybrid,1000,62,1,7460,0.001296499976888299
hybrid,1000,62,2,7699,0.0014285000506788492
hybrid,1000,62,3,7703,0.0013310000067576766
hybrid,1000,63,1,7550,0.0018188999965786934
hybrid,1000,63,2,7580,0.0011502999113872647
hybrid,1000,63,3,7467,0.001415099948644638
hybrid,1000,64,1,7708,0.0011759999906644225
hybrid,1000,64,2,7718,0.002334499964490533
hybrid,1000,64,3,7524,0.002506699995137751
hybrid,1000,65,1,7759,0.001917600049637258
hybrid,1000,65,2,7658,0.0019860999891534448
hybrid,1000,65,3,7658,0.0018106999341398478
hybrid,1000,66,1,7505,0.0013596999924629927
hybrid,1000,66,2,7719,0.0012105999048799276
hybrid,1000,66,3,7850,0.0015460000140592456
hybrid,1000,67,1,7854,0.0014469000743702054
hybrid,1000,67,2,7799,0.0012407000176608562
hybrid,1000,67,3,7432,0.0012257000198587775
hybrid,1000,68,1,7643,0.001218999968841672
hybrid,1000,68,2,7850,0.0022261999547481537
hybrid,1000,68,3,7834,0.001206299988552928
hybrid,1000,69,1,7426,0.0011999000562354922
hybrid,1000,69,2,7479,0.0011986000463366508
hybrid,1000,69,3,7328,0.0013453999999910593
hybrid,1000,70,1,7639,0.0012993999989703298
hybrid,1000,70,2,7565,0.001245100051164627
hybrid,1000,70,3,7714,0.0012452000519260764
hybrid,1000,71,1,7580,0.0021769999293610454
hybrid,1000,71,2,7748,0.0016516998875886202
hybrid,1000,71,3,7581,0.0015622000209987164
hybrid,1000,72,1,7652,0.0015978000592440367
hybrid,1000,72,2,7672,0.0013453999999910593
hybrid,1000,72,3,7526,0.0011938000097870827
hybrid,1000,73,1,7412,0.0017842999659478664
hybrid,1000,73,2,7259,0.0025730000343173742
hybrid,1000,73,3,7589,0.0013671000488102436
hybrid,1000,74,1,7743,0.001235299976542592
hybrid,1000,74,2,7534,0.00120900000911206
hybrid,1000,74,3,7528,0.0017820000648498535
hybrid,1000,75,1,7714,0.0018955999985337257
hybrid,1000,75,2,7715,0.0013062000507488847
hybrid,1000,75,3,7619,0.001601999974809587
hybrid,1000,76,1,7698,0.0013491000281646848
hybrid,1000,76,2,7663,0.0012196999741718173
hybrid,1000,76,3,7953,0.0012144999345764518
hybrid,1000,77,1,7334,0.0011147999903187156
hybrid,1000,77,2,7742,0.0015686999540776014
hybrid,1000,77,3,7540,0.0015765000134706497
hybrid,1000,78,1,7572,0.0019986999686807394
hybrid,1000,78,2,7605,0.0021758999209851027
hybrid,1000,78,3,7644,0.0013080000644549727
hybrid,1000,79,1,7799,0.00126219994854182
hybrid,1000,79,2,7592,0.0011964000295847654
hybrid,1000,79,3,7547,0.0030876999953761697
hybrid,1000,80,1,7640,0.0012841999996453524
hybrid,1000,80,2,7695,0.0012858000118285418
hybrid,1000,80,3,7619,0.001873200060799718
hybrid,1000,81,1,7706,0.0016499001067131758
hybrid,1000,81,2,7603,0.0012796999653801322
hybrid,1000,81,3,7355,0.0011777000036090612
hybrid,1000,82,1,7589,0.002089899964630604
hybrid,1000,82,2,7723,0.0021994999842718244
hybrid,1000,82,3,7601,0.001881500007584691
hybrid,1000,83,1,7792,0.0018552999245002866
hybrid,1000,83,2,8059,0.001325199962593615
hybrid,1000,83,3,7550,0.0012096998980268836
hybrid,1000,84,1,7699,0.0013153000036254525
hybrid,1000,84,2,7642,0.0022996000479906797
hybrid,1000,84,3,7368,0.002027899958193302
hybrid,1000,85,1,7775,0.0016525000100955367
hybrid,1000,85,2,7374,0.0015437999973073602
hybrid,1000,85,3,7670,0.00242379994597286
hybrid,1000,86,1,7801,0.0012186000822111964
hybrid,1000,86,2,7675,0.002743499935604632
hybrid,1000,86,3,7450,0.0012450999347493052
hybrid,1000,87,1,7624,0.0012799000833183527
hybrid,1000,87,2,7552,0.0018220000201836228
hybrid,1000,87,3,7412,0.0016469999682158232
hybrid,1000,88,1,7692,0.0018734000623226166
hybrid,1000,88,2,7867,0.004470200045034289
hybrid,1000,88,3,7687,0.0012703000102192163
hybrid,1000,89,1,7658,0.0012648999691009521
hybrid,1000,89,2,7788,0.0019470000406727195
hybrid,1000,89,3,7633,0.0012193999718874693
hybrid,1000,90,1,7705,0.0011724999640136957
hybrid,1000,90,2,7459,0.0011288000969216228
hybrid,1000,90,3,7777,0.0016555000329390168
hybrid,1000,91,1,7623,0.0015002000145614147
hybrid,1000,91,2,7538,0.0012586000375449657
hybrid,1000,91,3,7676,0.0012105999048799276
hybrid,1000,92,1,7626,0.0012066999915987253
hybrid,1000,92,2,7712,0.0012026999611407518
hybrid,1000,92,3,7686,0.0018350000027567148
hybrid,1000,93,1,7816,0.0012332999613136053
hybrid,1000,93,2,7554,0.0014006999554112554
hybrid,1000,93,3,7516,0.001830599969252944
hybrid,1000,94,1,7708,0.0016759000718593597
hybrid,1000,94,2,7610,0.0014633999671787024
hybrid,1000,94,3,7582,0.0014181999722495675
hybrid,1000,95,1,7530,0.0014082000125199556
hybrid,1000,95,2,7389,0.0011622000019997358
hybrid,1000,95,3,7733,0.0015408999752253294
hybrid,1000,96,1,7773,0.0019079999765381217
hybrid,1000,96,2,7747,0.002126000006683171
hybrid,1000,96,3,7687,0.0013123999815434217
hybrid,1000,97,1,7547,0.0013342000311240554
hybrid,1000,97,2,7585,0.0013141999952495098
hybrid,1000,97,3,7708,0.0011806999100372195
hybrid,1000,98,1,7700,0.0017127000028267503
